label,recall,precision
human,0.45387453874538747,0.825503355704698
human,0.45387453874538747,0.82
human,0.4575645756457565,0.8211920529801324
human,0.4575645756457565,0.8157894736842105
human,0.4575645756457565,0.8104575163398693
human,0.4575645756457565,0.8051948051948052
human,0.4575645756457565,0.8
human,0.4575645756457565,0.7948717948717948
human,0.4612546125461255,0.7961783439490446
human,0.4612546125461255,0.7911392405063291
human,0.4612546125461255,0.7861635220125787
human,0.4612546125461255,0.78125
human,0.46494464944649444,0.782608695652174
human,0.46863468634686345,0.7839506172839507
human,0.47232472324723246,0.7852760736196319
human,0.47601476014760147,0.7865853658536586
human,0.4797047970479705,0.7878787878787878
human,0.4797047970479705,0.7831325301204819
human,0.4833948339483395,0.7844311377245509
human,0.4833948339483395,0.7797619047619048
human,0.4833948339483395,0.7751479289940828
human,0.4870848708487085,0.7764705882352941
human,0.4870848708487085,0.7719298245614035
human,0.4870848708487085,0.7674418604651163
human,0.4870848708487085,0.7630057803468208
human,0.4870848708487085,0.7586206896551724
human,0.4870848708487085,0.7542857142857143
human,0.4870848708487085,0.75
human,0.4870848708487085,0.7457627118644068
human,0.4870848708487085,0.7415730337078652
human,0.4907749077490775,0.7430167597765364
human,0.4907749077490775,0.7388888888888889
human,0.4944649446494465,0.7403314917127072
human,0.4981549815498155,0.7417582417582418
human,0.5018450184501845,0.7431693989071039
human,0.5018450184501845,0.7391304347826086
human,0.5018450184501845,0.7351351351351352
human,0.5018450184501845,0.7311827956989247
human,0.5018450184501845,0.7272727272727273
human,0.5018450184501845,0.723404255319149
human,0.5018450184501845,0.7195767195767195
human,0.5018450184501845,0.7157894736842105
human,0.5018450184501845,0.7120418848167539
human,0.5018450184501845,0.7083333333333334
human,0.5018450184501845,0.7046632124352331
human,0.5018450184501845,0.7010309278350515
human,0.5018450184501845,0.6974358974358974
human,0.5018450184501845,0.6938775510204082
human,0.5018450184501845,0.6903553299492385
human,0.5018450184501845,0.6868686868686869
human,0.5055350553505535,0.6884422110552764
human,0.5055350553505535,0.685
human,0.5055350553505535,0.681592039800995
human,0.5055350553505535,0.6782178217821783
human,0.5092250922509225,0.6798029556650246
human,0.5092250922509225,0.6764705882352942
human,0.5092250922509225,0.6731707317073171
human,0.5092250922509225,0.6699029126213593
human,0.5092250922509225,0.6666666666666666
human,0.5092250922509225,0.6634615384615384
human,0.5092250922509225,0.6602870813397129
human,0.5092250922509225,0.6571428571428571
vehicle.bicycle,0.025,1.0
vehicle.bicycle,0.05,1.0
vehicle.bicycle,0.075,1.0
vehicle.bicycle,0.1,1.0
vehicle.bicycle,0.125,1.0
vehicle.bicycle,0.15,1.0
vehicle.bicycle,0.175,1.0
vehicle.bicycle,0.2,1.0
vehicle.bicycle,0.225,1.0
vehicle.bicycle,0.25,1.0
vehicle.bicycle,0.275,1.0
vehicle.bicycle,0.3,1.0
vehicle.bicycle,0.325,1.0
vehicle.bicycle,0.35,1.0
vehicle.bicycle,0.375,1.0
vehicle.bicycle,0.4,1.0
vehicle.bicycle,0.425,1.0
vehicle.bicycle,0.45,1.0
vehicle.bicycle,0.475,1.0
vehicle.bicycle,0.5,1.0
vehicle.bicycle,0.525,1.0
vehicle.bicycle,0.55,1.0
